issue,created_at,closed_at
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/487,2020-07-27 23:45:18,2020-07-27 23:45:26
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/486,2020-07-27 17:52:06,2020-07-27 17:52:14
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/485,2020-07-26 04:53:07,2020-07-28 15:31:37
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/484,2020-07-25 23:50:25,2020-07-25 23:50:32
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/483,2020-07-25 18:51:09,2020-07-25 22:32:11
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/482,2020-07-25 17:48:00,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/481,2020-07-25 17:41:55,2020-07-25 17:50:46
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/481,2020-07-25 17:50:45,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/481,2020-07-25 17:53:22,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/480,2020-07-24 19:46:12,2020-07-24 19:51:19
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/479,2020-07-23 16:55:54,2020-07-23 17:02:34
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/478,2020-07-23 02:45:06,2020-07-23 17:05:16
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/478,2020-07-23 15:44:43,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/478,2020-07-23 16:02:15,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/478,2020-07-23 16:54:21,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/478,2020-07-23 17:05:16,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/477,2020-07-22 20:40:06,2020-07-23 17:32:32
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/476,2020-07-22 20:37:23,2020-07-22 20:38:35
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/475,2020-07-22 19:39:50,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/475,2020-07-24 19:48:38,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/474,2020-07-22 19:31:26,2020-07-22 19:36:56
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/473,2020-07-22 17:07:50,2020-07-22 20:40:56
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/473,2020-07-22 17:31:11,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/473,2020-07-22 19:50:13,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/473,2020-07-22 20:40:41,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/472,2020-07-22 14:39:43,2020-07-22 19:53:17
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/471,2020-07-22 13:40:16,2020-07-22 13:40:57
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/470,2020-07-21 22:26:58,2020-08-01 22:03:14
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/470,2020-07-30 17:42:24,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/470,2020-07-30 18:26:20,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/469,2020-07-21 13:40:34,2020-07-21 20:33:29
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/468,2020-07-20 19:52:44,2020-07-20 19:58:04
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/467,2020-07-20 19:46:20,2020-07-20 21:59:02
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/467,2020-07-20 21:40:05,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/467,2020-07-20 21:59:02,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/467,2020-07-20 22:13:24,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/467,2020-07-20 22:17:59,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/466,2020-07-20 18:50:07,2020-07-20 18:50:13
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/465,2020-07-20 15:50:08,2020-07-20 21:58:16
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/465,2020-07-20 21:58:16,
